word,english
幾好,pretty good
唔錯,not bad
⿇⿇地,so-so
唔係太好,not too good
⼼情,feeling
今日,today
有啲,kind of
癐,tired
興奮,excited (positive)
開⼼,happy
緊張,nervous
唔開⼼,unhappy
煩,upset
所以,so; therefore
出⾯,outside
都幾,quite
天氣,weather
好天,good weather (good sky?)
靚,beautiful
差,poor; bad
熱,hot
暖,warm
涼,cool
凍,cold
太陽,sun
雲,clouds
風,wind
曬,bright
雨,rain
冰雨,freezing rain
雪,snow
冰雹,hail
午餐,lunch
下午茶,afternoon tea
晚飯,dinner
宵夜,late night snack
肚餓,hungry
飽,full
忙,busy
得閒,free
嘆,chill
做,to do
多謝,many thanks
要,?
使,to need to
