# source: https://github.com/magalilemes/new-hsk-1/blob/master/hsk1.csv
characters,pinyin,meaning
爱,ài,"to love, to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)"
爱好,àihǎo,"to like, to take pleasure in, keen on, fond of, interest, hobby, appetite for, CL:個|个[ge4]"
八,bā,"eight, 8"
爸爸,bàbà,"(informal) father, CL:個|个[ge4],位[wei4]"
吧,ba,"(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume."
白,bái,"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera"
白天,báitiān,"daytime, during the day, day, CL:個|个[ge4]"
百,bǎi,"hundred, numerous, all kinds of"
班,bān,"team, class, squad, work shift, ranking, CL:個|个[ge4], classifier for groups"
半,bàn,"half, semi-, incomplete, (after a number) and a half"
半年,bànnián,half a year
半天,bàntiān,"half of the day, a long time, quite a while, midair, CL:個|个[ge4]"
帮,bāng,"to help, to assist, to support, for sb (i.e. as a help), hired (as worker), side (of pail, boat etc), outer layer, upper (of a shoe), group, gang, clique, party, secret society"
帮忙,bāngmáng,"to help, to lend a hand, to do a favor, to do a good turn"
包,bāo,"to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个[ge4],隻|只[zhi1]"
包子,bāozǐ,"steamed stuffed bun, CL:個|个[ge4]"
杯,bēi,"variant of 杯[bei1], trophy cup, classifier for certain containers of liquids: glass, cup"
杯子,bēizǐ,"cup, glass, CL:個|个[ge4],支[zhi1],枝[zhi1]"
北,běi,"north, to be defeated (classical)"
北边,běibiān,"north, north side, northern part, to the north of"
北京,běijīng,"Beijing, capital of People's Republic of China, Peking, PRC government"
本,běn,"root, stem, origin, source, this, the current, original, inherent, originally, classifier for books, periodicals, files etc"
本子,běnzǐ,"book, notebook, edition, CL:本[ben3]"
比,bǐ,"to associate with, to be near"
别,bié,"to make sb change their ways, opinions etc"
别的,biéde,"else, other"
别人,biérén,"other people, others, other person"
病,bìng,"illness, CL:場|场[chang2], disease, to fall ill, defect"
病人,bìngrén,"sick person, patient, invalid, CL:個|个[ge4]"
不大,bùdà,"not very, not too, not often"
不对,bùdùi,"incorrect, wrong, amiss, abnormal, queer"
不客气,bùkèqì,"you're welcome, don't mention it, impolite, rude, blunt"
不用,bùyòng,need not
不,bù,"(negative prefix), not, no"
菜,cài,"dish (type of food), vegetable, cuisine, CL:盤|盘[pan2],道[dao4], (coll.) (one's) type"
茶,chá,"tea, tea plant, CL:杯[bei1],壺|壶[hu2]"
差,chà,"to send, to commission, messenger, mission"
常,cháng,"always, ever, often, frequently, common, general, constant"
常常,chángcháng,"frequently, usually, often"
唱,chàng,"to sing, to call loudly, to chant"
唱歌,chànggē,to sing a song
车,chē,car
车票,chēpiào,ticket (for a bus or train)
车上,chēshàng,in the car
