pero,Conjunction,3 days ago,
la,Determiner,3 days ago,
ver,Verb,3 days ago,
no,Adverb,3 days ago,
de,,3 days ago,
me lo,,3 days ago,
tienes,,3 days ago,
tareas domésticas,,3 days ago,
que,Conjunction,3 days ago,
el,Determiner,3 days ago,
abuela,,3 days ago,
salsa,Noun,3 days ago,
microondas,Noun,3 days ago,
si,Conjunction,3 days ago,
al,Preposition,3 days ago,
a mí,,3 days ago,
oscuridad,Noun,3 days ago,
así que,,3 days ago,
las,Determiner,3 days ago,
tenía,Verb,3 days ago,
para,,3 days ago,
mi,,3 days ago,
tres,,3 days ago,
en,,3 days ago,
venga,Verb,3 days ago,
a,,3 days ago,
camisa,,3 days ago,
hace,Verb,3 days ago,
muy,,3 days ago,
no vayamos,,3 days ago,
ser,Verb,3 days ago,
solo,Adverb,3 days ago,
hasta,Preposition,3 days ago,
ganas,Noun,3 days ago,
le,Pronoun,3 days ago,
entre,Verb,3 days ago,
se preocupe,,3 days ago,
llame,Verb,3 days ago,
y si,,4 days ago,
reino unido,,4 days ago,
veamos,Verb,4 days ago,
caribe,Noun,4 days ago,
envíesela,,4 days ago,
obligatoria,Adjective,4 days ago,
usted,Pronoun,4 days ago,
dónde,,4 days ago,
clase,,4 days ago,
sus,Determiner,4 days ago,
apuntes,Noun,4 days ago,
está,,4 days ago,
porque,Conjunction,4 days ago,
hacer,Verb,4 days ago,
ayúdame,,4 days ago,
pan,Noun,4 days ago,
quiero,,4 days ago,
saber,Verb,4 days ago,
es,Verb,4 days ago,
ahora,Adverb,4 days ago,
su,Determiner,4 days ago,
dígaselo,,4 days ago,
cocinar,Verb,4 days ago,
enséñame,,4 days ago,
y,,4 days ago,
nunca,Adverb,4 days ago,
regalo,,4 days ago,
tiene que,,4 days ago,
hacer la cama,,4 days ago,
hay que,,4 days ago,
del,Preposition,4 days ago,
dos,,4 days ago,
cómo,,4 days ago,
lavar,Verb,4 days ago,
cómo está,,4 days ago,
hasta luego,,4 days ago,
buenas tardes,,4 days ago,
señorita,Noun,4 days ago,
muy,Adverb,4 days ago,
cansada,Adjective,4 days ago,
buenos días,,4 days ago,
lo siento,,4 days ago,
ella,Pronoun,4 days ago,
mal,Adverb,4 days ago,
te llamas,,4 days ago,
ocupada,Adjective,4 days ago,
marrón,,4 days ago,
pesadillas,Noun,6 days ago,
daba,Verb,6 days ago,
pesadilla,Noun,6 days ago,
tu,,6 days ago,
de niña,,6 days ago,
aquí,,6 days ago,
películas,Noun,6 days ago,
dormir,Verb,6 days ago,
veía,Verb,6 days ago,
siempre,Adverb,6 days ago,
yo,Pronoun,6 days ago,
de terror,,6 days ago,
me,Pronoun,6 days ago,
los,Determiner,6 days ago,
cuando,Conjunction,6 days ago,
era,Verb,6 days ago,
cuba,Proper noun,6 days ago,
dónde,Adverb,6 days ago,
él,Pronoun,6 days ago,
hasta mañana,,6 days ago,
interesante,Adjective,6 days ago,
eres,Verb,6 days ago,
soy,Verb,6 days ago,
de,Preposition,6 days ago,
tú,Pronoun,6 days ago,
americana,Adjective,6 days ago,
ocupado,Adjective,6 days ago,
sí,Adverb,6 days ago,
china,Proper noun,6 days ago,
en,Preposition,6 days ago,
cubana,Adjective,6 days ago,
escribo,,6 days ago,
no,,6 days ago,
español,Noun,6 days ago,
escribir,,6 days ago,
leo,,6 days ago,
maestro,,6 days ago,
me llamo,,6 days ago,
estudio,,6 days ago,
mucho,,6 days ago,
niño,Noun,6 days ago,
cubano,Adjective,6 days ago,
difícil,,6 days ago,
problema,,6 days ago,
americano,Adjective,6 days ago,
fácil,,6 days ago,
estudiante,,6 days ago,
favorita,,6 days ago,
computadora,,6 days ago,
chaqueta,,6 days ago,
vestido,,6 days ago,
comprendo,,6 days ago,
falda,,6 days ago,
verde,,6 days ago,
rojo,,6 days ago,
lees,,6 days ago,
esposo,,6 days ago,
cinturón,,6 days ago,
quiero,,6 days ago,
necesito,,6 days ago,
gris,,6 days ago,
demasiado,,6 days ago,
reloj,,6 days ago,
sombrero,,6 days ago,
ropa,,6 days ago,
padre,,6 days ago,
caro,,6 days ago,
elegante,,6 days ago,
camiseta,,6 days ago,
este,,6 days ago,
bonito,,6 days ago,
cómoda,,6 days ago,
sal,,6 days ago,
naranja,,6 days ago,
sándwich,,6 days ago,
carne,,6 days ago,
con,,6 days ago,
sin,,6 days ago,
vaso,,6 days ago,
queso,,6 days ago,
taza,,6 days ago,
por favor,,6 days ago,
jugo,,6 days ago,
café,,6 days ago,
por favor,,6 days ago,
ensalada,,6 days ago,
hamburguesa,,6 days ago,
tomate,,6 days ago,
teléfono,,6 days ago,
supermercado,,6 days ago,
banco,,6 days ago,
tren,,6 days ago,
cerrado,,6 days ago,
autobús,,6 days ago,
reserva,,6 days ago,
taxi,,6 days ago,
disculpe,Verb,6 days ago,
adiós,Interjection,6 days ago,
gracias,Interjection,6 days ago,
mucho gusto,,6 days ago,
de nada,,6 days ago,
buenas noches,,6 days ago,
hola,Interjection,6 days ago,
perdón,Noun,6 days ago,
matricularse,Pronoun,6 days ago,
pregúnteselas,,6 days ago,
matricular,Verb,6 days ago,
pregúnteles,,6 days ago,
becas,Noun,6 days ago,
pregúntesela,,6 days ago,
pregúnteselo,,6 days ago,
dirección,Noun,6 days ago,
en el,,6 days ago,
universidad,,6 days ago,
escuela,,6 days ago,
tengo,,6 days ago,
entiende,Verb,6 days ago,
telenovela,Noun,1 week ago,
telenovelas,Noun,1 week ago,
saludan,Verb,1 week ago,
mexicana,Adjective,1 week ago,
poesía,Noun,1 week ago,
muchos,Adjective,1 week ago,
cuánto hace que,,1 week ago,
desde que,,1 week ago,
escribes,,1 week ago,
desde hace,,1 week ago,
estudias,,1 week ago,
mis,Determiner,1 week ago,
veinte,Numeral,1 week ago,
te reunías,,1 week ago,
donde,,1 week ago,
calle,,1 week ago,
diez,Numeral,1 week ago,
tus,Determiner,1 week ago,
la tuya,,1 week ago,
desayunar,Verb,1 week ago,
siete,Numeral,1 week ago,
conmigo,Preposition,1 week ago,
antes,Preposition,1 week ago,
desde,Preposition,1 week ago,
casa,,1 week ago,
escuchar,Verb,1 week ago,
fines de semana,,1 week ago,
nos,Pronoun,1 week ago,
ustedes,Pronoun,1 week ago,
ordenaba,Verb,1 week ago,
perro,,1 week ago,
mañana,Adverb,1 week ago,
debería,Verb,1 week ago,
o,,1 week ago,
a ustedes,,1 week ago,
parece,,1 week ago,
cartera,,1 week ago,
ellos,Pronoun,1 week ago,
hoy,Adverb,1 week ago,
reparar,Verb,1 week ago,
asesina,Noun,1 week ago,
se escondieron,,1 week ago,
se escondía,,1 week ago,
se escondían,,1 week ago,
asesino,Noun,1 week ago,
asesinos,Noun,1 week ago,
sombras,Noun,1 week ago,
gritos,Noun,1 week ago,
nos escondimos,,1 week ago,
se escondió,,1 week ago,
mientras,Conjunction,1 week ago,
ayer,Adverb,1 week ago,
baño,,1 week ago,
por qué,,1 week ago,
entre,Preposition,1 week ago,
cerca de,,1 week ago,
explícame,,1 week ago,
anoche,Adverb,1 week ago,
nombre,Noun,1 week ago,
mí,Pronoun,1 week ago,
nevando,Verb,1 week ago,
