,form,form_count,lemma
0,ciotką,1,
1,którzy,1,który
2,sensowność,1,
3,pewna,1,pewny
4,spacer,1,spacer
5,przednich,1,
6,stanowią,1,
7,oczach,1,oko
8,dodawała,1,dodawać
9,powieści,3,
10,szukać,1,szukać
11,bytu,1,
12,ścierpnięta,1,
13,powtórzył,1,
14,trudu,1,
15,zamówił,1,zamówić
16,religię,1,religia
17,mebli,1,
18,oczywistości,1,
19,cremoński,1,
20,wyboistym,1,
21,pracy,1,praca
22,jana,1,
23,zdjęła,1,zdjąć
24,korytarz,1,korytarz
25,matkę,1,
26,pieśń,1,
27,teorie,1,teoria
28,tożsamości,2,
29,który,2,który
30,wareckim,1,
31,lekcyj,1,
32,potęgi,1,
33,ciemnozielone,1,
34,akty,1,
35,lewą,1,lewy
36,panu,1,pan
37,szczęśliwą,1,szczęśliwy
38,etyczną,1,
39,bezwolną,1,
40,wszystkie,1,wszystkie
41,naturalny,1,
42,wstydu,1,wstyd
43,przyjęciem,1,
44,stąd,2,
45,jednak,1,jednak
46,rzeczywiście,1,
47,stać,1,
48,codzienny,1,
49,medalionem,1,
50,pominięciem,1,
51,pierwiastek,1,
52,policzkach,1,
53,chusty,1,
54,wizyty,1,wizyta
55,dzień,2,dzień
56,która,1,który
57,skrzypiec,2,
58,warszawskiego,1,
59,gdyż,1,
60,milkły,1,
61,religijne,1,
62,pomocy,1,pomoc
63,względów,1,wzgląd
64,inne,1,inny
65,dziewczęce,1,
66,odwagę,1,odwaga
67,mija,1,
68,dzikiej,1,dziki
69,uginał,1,
70,pierwszej,1,
71,ostrowłosej,1,
72,jednemu,1,
73,by,1,by
74,autor,1,
75,tamce,1,
76,pojazdach,1,pojazd
77,dni,1,dzień
78,każe,1,kazać
79,swojej,2,swój
80,wspaniałym,1,wspaniały
81,jakieś,1,
82,latającymi,1,
83,strzepnęła,1,
84,oznacza,1,oznaczać
85,szczęśliwa,1,szczęśliwy
86,auderska,1,
87,pisarza,1,pisarz
88,zaczął,1,zacząć
89,tu,2,
90,szkoda,1,
91,rzuciła,2,rzucić
92,lecz,1,leczyć
93,adam,1,
94,wodą,1,woda
95,smudze,1,
96,bruku,1,
97,przestał,1,
98,gdyby,1,gdyby
99,córeczka,1,
100,brahmsa,1,
101,za,5,za
102,łaskawie,1,
103,ławeczce,1,
104,patrzyła,1,
105,oczami,1,oko
106,dawało,1,dawać
107,doznając,1,
108,było,4,być
109,zadzwonił,1,zadzwonić
110,szczebiotu,1,
111,czerwone,1,
112,adama,1,
113,woda,1,woda
114,otwartymi,1,
115,przesączone,1,
116,ostatnie,1,ostatni
117,chodzi,2,chodzić
118,nadała,1,
119,dorożki,1,
120,nieba,1,niebo
121,sobą,1,się
122,ówdzie,1,
123,stworzył,1,stworzyć
124,błyskał,1,
125,może,1,móc
126,duże,1,duży
127,chwytała,1,
128,spojrzenia,1,
129,bywały,1,bywać
130,luiza,1,
131,liberty,1,
132,rozbujanie,1,
133,burzą,1,burzyć
134,je,1,ono
135,uliczce,1,
136,zaklasyfikowanie,1,
137,obowiązuje,1,
138,dzisiaj,2,dzisiaj
139,kataklizm,1,
140,chudej,1,
141,śpiew,1,
142,bunty,1,
143,konkret,1,
144,poddawała,1,
145,orkiestra,1,
146,byłem,1,być
147,tej,1,ta
148,nic,1,nic
149,jedna,1,
150,wyobrażeń,1,
151,program,1,
152,ikwa,1,
153,dniach,1,dzień
154,telefon,2,
155,biaława,1,
156,ale,4,
157,peipera,1,
158,wysoko,1,
159,lemoniadę,1,
160,wzruszenia,1,
161,księżycowa,1,
162,starannie,1,
163,zdejmowania,1,
164,placem,1,
165,przybosia,2,
166,ze,6,
167,powszechnym,1,
168,słuchała,1,słuchać
169,tutaj,1,
170,zaskórna,1,
171,dobrze,2,dobrze
172,narodowych,1,narodowy
173,inżynierze,1,
174,usiłowały,1,
175,zazwyczaj,1,zazwyczaj
176,tańce,1,taniec
177,minął,1,
178,się,15,się
179,pierwszego,1,
180,napomnień,1,
181,zapraszane,1,zapraszać
182,zabawy,1,
